product_name,product_date,product_group,product_comments,product_votes,product_merchant
SONY konsola PlayStation 4 Slim - 500 GB + pakiet dodatków do gry Fortnite,lis 25.,"['Fortnite', 'PlayStation', 'PlayStation 4', 'Gry wideo', 'Konsole', 'Gaming']",9,0,None
PS4 pro 1TB + COD MW lub Death Stranding,lis 25.,"['PlayStation 4', 'Konsole', 'Gaming']",76,0,None
SanDisk Extreme Portable SSD 1TB,lis 25.,"['SSD', 'Podzespoły komputerowe', 'Komputery i tablety', 'Elektronika']",2,84,Amazon
Konsola Xbox One S 1TB + Forza Horizon 4 + LEGO Speed Champions DLC i inne zestawy Xbox w niższej cenie (także Pady po 169zł),lis 25.,"['Forza Horizon 4', 'Forza Horizon', 'Forza', 'klocki LEGO', 'Klocki', 'Zabawki', 'Xbox One', 'Xbox', 'Gry wideo', 'Konsole', 'Gaming']",3,0,None
2x słuchawki douszne Bluetooth SE112,lis 25.,"['Słuchawki douszne', 'Słuchawki', 'Audio i HiFi', 'Elektronika']",20,64,iBOOD
Allegro Smart! Darmowe dostawy kurierskie (MWZ 100 zł),lis 25.,"['Usługi abonamentowe', 'Usługi i subskrypcje', 'Za darmo']",33,0,None
"+30 Monet przy zakupach od 500 zł w kategorii Komputery, Konsole i automaty @ Allegro",lis 25.,"['Konsole', 'Gaming', 'Komputery i tablety']",35,0,None
Cilit Bang 750ml. Różne rodzaje. Biedronka,lis 25.,"['Dom i mieszkanie', 'Hity z marketów']",1,0,None
Promocja na spawarkę Sthor,lis 24.,['Ogród i majsterkowanie'],17,0,None
Słuchawki Sennheiser HD599 Special Edition Black - Amazon.de,Zaktualizowano lis 24. (Opublikowano lis 22.),"['Słuchawki Sennheiser', 'Słuchawki', 'Audio i HiFi', 'Elektronika']",57,0,None
"Krups evidence ea8908 i ea8901, cena promocyjna w sklepach stacjonarnych RTV Euro AGD",lis 24.,['Elektronika'],23,0,None
-20% na zakupy w sklepie internetowym www.tchibo.pl,Obowiązuje do 17/12/2019,['Dom i mieszkanie'],1,67,Tchibo
Shadows: Awakening PC/Steam,lis 24.,"['Gry PC', 'Gry wideo', 'Gaming', 'Komputery i tablety']",0,35,Kinguin
"Słuchawki bezprzewodowe ""gamingowe"" Logitech G533",lis 24.,"['Akcesoria dla graczy', 'Słuchawki', 'Audio i HiFi', 'Elektronika']",15,0,None
Lego Technic Liebherr R9800 Selgros Szczecin,lis 24.,"['klocki LEGO', 'Klocki', 'Zabawki', 'Rodzina i dzieci']",11,0,None
MediEvil PS4,lis 24.,"['Gry Playstation', 'PlayStation 4', 'Gry wideo', 'Konsole', 'Gaming']",15,0,None
God Of War USA PSN,lis 24.,['Gaming'],8,0,None
Omega Marine Junior+ kuracja miesięczna - 9.95zł koszt wysyłki,lis 24.,"['Za darmo', 'Zdrowie i uroda']",14,0,None
"Forza Motorsport 7 (PC, XOne) o połowę taniej",lis 24.,"['Forza', 'Gry wideo', 'Gaming', 'Komputery i tablety']",23,0,None
PlayStation 4 Slim 1TB Console - Fortnite Bundle,lis 24.,"['Fortnite', 'PlayStation', 'PlayStation 4', 'Gry wideo', 'Konsole', 'Gaming']",28,-328,Amazon
-50% na nową kolekcję,lis 24.,['Moda'],7,-145,Top Secret
Fotel DIABLO CHAIRS X-One Czarno-czerwony,lis 24.,['Dom i mieszkanie'],13,-192,Media Expert
50% off w Aloha from Deer śmieszne ciuchy,lis 24.,['Moda'],7,-86,Aloha From Deer
Adidas Duramo Lite 2.0 W B75587 Białe - Auchan Komorniki,Obowiązuje do 15/12/2019,"['Hity z marketów', 'Moda']",3,190,Auchan
Red Dead Redemption 2 PC,lis 24.,"['Red Dead Redemption 2', 'Red Dead Redemption', 'Gry wideo', 'Gaming', 'Komputery i tablety']",9,0,None
XBOX ONE S 1TB + ANTHEM amazon.it,lis 24.,"['Xbox One', 'Xbox', 'Konsole', 'Gaming']",32,32,Amazon
"Whisky Johnnie Walker Black Label Lowlands 12 Year Old 0,7 42%",lis 24.,"['Alkohole', 'Napoje', 'Artykuły spożywcze']",27,0,None
"Dla fanów Bohdana Butenki ""Do wieńca wspomnień"" opatrzona adnotacją ""Tylko dla dorosłych""",lis 24.,['Kultura i rozrywka'],0,103,Tania Książka
Napoje energetyczne GigaWatt za 1 grosz.,lis 24.,"['Napoje', 'Artykuły spożywcze']",13,0,None
Fossil FTW4016 cyfrowy zegarek męski ze skórzaną bransoletką 175€ - kupon promocyjny 33€ = 141€,lis 24.,"['Zegarki', 'Akcesoria modowe', 'Moda']",24,0,None
"Auchan, Kaszka Belriso lub Smakija",Zaktualizowano lis 24. (Opublikowano lis 18.),"['Artykuły spożywcze', 'Hity z marketów']",22,0,None
Auchan Napój Zbyszko 1.75l,Zaktualizowano lis 24. (Opublikowano lis 18.),"['Artykuły spożywcze', 'Hity z marketów']",18,0,None
Darmowy weekend z Warhammer: Vermintide 2 na Steamie,Zaktualizowano lis 24. (Opublikowano lis 21.),"['Za darmo', 'Gaming']",6,0,None
"La Cucaracha Loop - gra planszowa, Auchan Piotrków Trybunalski",lis 24.,"['Gry planszowe', 'Zabawki', 'Rodzina i dzieci', 'Hity z marketów']",3,0,None
Promocje Biedronka pasta oliwa actimel,lis 24.,"['Artykuły spożywcze', 'Hity z marketów']",15,0,None
Laptop HP Pavilion Gaming 15-dk0006nw i5-9300H/8GB/512GB SSD/GTX1660Ti 6GB/Win10H Czarny MediaMarkt,lis 24.,"['Laptopy', 'Akcesoria dla graczy', 'Komputery i tablety', 'Elektronika']",74,0,None
WD Blue 3D NAND SATA SSD 2TB 215€,lis 24.,"['SSD', 'Podzespoły komputerowe', 'Komputery i tablety', 'Elektronika']",10,63,Amazon
BOMSUND rama sofy narożnej @ Ikea,lis 24.,['Dom i mieszkanie'],61,680,IKEA
Cyrkulator Anova Precision® Cooker (nowa wersja),lis 24.,['Dom i mieszkanie'],38,-97,Anova
Forza Horizon 4: Lego Speed Champions na Xbox One i PC,Zaktualizowano lis 24. (Opublikowano lis 14.),"['Forza Horizon 4', 'Forza Horizon', 'Forza', 'klocki LEGO', 'Klocki', 'Zabawki', 'Xbox One', 'Xbox', 'Gry wideo', 'Gaming', 'Komputery i tablety']",51,873,CDkeys
Gra interaktywna dla dzieci do udawania psa @Carrefour,lis 24.,"['Dziecko', 'Pielęgnacja dzieci', 'Rodzina i dzieci', 'Hity z marketów']",7,0,None
Biedronka - Orzeszki w czekoladzie w promocji - wszystkie rodzaje - przy zakupie 2,lis 24.,"['Artykuły spożywcze', 'Hity z marketów']",3,0,None
Wkrętarka Bosch gsr1800+2akumlatory+25 bitów @ Castorama (Stargard),lis 24.,"['Bosch', 'Ogród i majsterkowanie']",15,0,None
Zestaw 6 wkładów filtrującychB25 maxfor + dzbanek za 1zł,lis 24.,['Zdrowie i uroda'],3,0,None
Aparat cyfrowy Sony DSC-RX100 III w komplecie z gripem i torbą,lis 24.,"['Foto i kamery', 'Elektronika']",9,86,FotoForma
"Plecaki Marvel i Disney (Auchan, Warszawa, ul. Modlińska)",Obowiązuje do 20/12/2019,"['Plecaki', 'Sport i turystyka', 'Akcesoria modowe', 'Hity z marketów']",1,85,Auchan
"Whiskas mokra karma dla kota. 4pak. Rossmann. Różne rodzaje, wybrane artykuły. Taniej o 30%",lis 24.,"['Artykuły dla zwierząt', 'Artykuły spożywcze']",6,0,None
"Zegarek Armand Nicolet, M02 AUTOMAT, Darmowa dostawa",lis 24.,"['Zegarki', 'Akcesoria modowe', 'Moda']",22,0,None
Naked Grouse whisky @ Auchan,lis 24.,"['Alkohole', 'Napoje', 'Artykuły spożywcze']",6,103,Auchan
"30 dni więcej przy zakupie pakietu w Player+, m. in. Canal+ wychodzi 25 zł za miesiąc",lis 24.,['Internet i usługi telekomunikacyjne'],30,0,None
"Biedronka, Dżem Bonne Maman, 370 g",lis 24.,"['Jedzenie', 'Artykuły spożywcze', 'Hity z marketów']",3,54,Biedronka
"Xiaomi Mi TV Box 2GB RAM + 8GB ROM 49,99$",lis 24.,"['TV i wideo', 'Xiaomi', 'Elektronika']",24,0,None
"Słuchawki bezprzewodowe QCY T1C TWS za 15,02$ @ JoyBuy",lis 24.,"['Słuchawki', 'Audio i HiFi', 'Elektronika']",13,0,None
Kabel micro USB Cabletime,lis 24.,['Elektronika'],25,81,AliExpress
Helly Hansen Skarpety męskie Lifa Merino 2-Pack Socks Navy r. 35-38,lis 24.,['Sport i turystyka'],9,0,None
Nivea Baby mleczko nawilżające,lis 24.,['Rodzina i dzieci'],3,151,Bliżej Ciebie
Gifty dla posiadaczy telefonów Huawei - Ogłoszenie zbiorcze,lis 24.,"['Internet i usługi telekomunikacyjne', 'Smartfony Huawei', 'Smartfony', 'Telefony i smartfony']",23,190,HUAWEI
Zegarki Seiko Amazon.fr,lis 24.,"['Zegarki', 'Akcesoria modowe', 'Moda']",17,0,None
"Zestaw Homematic IP, centralka i dwie głowice.",lis 24.,['Elektronika'],37,75,Amazon
iPhone SE 34 GB,lis 24.,"['iPhone', 'Smartfony', 'Telefony i smartfony', 'Elektronika']",29,0,None
The Enchanted Worlds,lis 24.,['Gaming'],13,0,None
Panasonic ES LV 65 S803,lis 24.,['Elektronika'],34,42,Amazon
Philips OneBlade + (UWAGA) dodatkowe ostrze i 3 nakładki,lis 24.,['Zdrowie i uroda'],21,0,None
Kamizelka dziecięca @ Lidl,lis 24.,['Moda'],6,56,Lidl
Kurtka dziecięca @ Lidl,lis 24.,"['Odzież męska', 'Kurtki', 'Odzież', 'Moda']",10,73,Lidl
Tanie podcieranie - papier 16 rolek lawendowy Biedronka,lis 24.,"['Zdrowie i uroda', 'Hity z marketów']",62,0,None
Whisky Tullamore Dew 1L AUCHAN,lis 24.,"['Alkohole', 'Napoje', 'Artykuły spożywcze', 'Hity z marketów']",13,189,Auchan
Zegarek automatyczny Orient FFM03004B0,lis 24.,"['Zegarki', 'Akcesoria modowe', 'Moda']",8,0,None
Fossil Carlyle Gen 5 Smartwatch - wszystkie modele,lis 24.,"['Smartwatche', 'Wearable', 'Elektronika']",115,0,None
100zł na zakupy w H&M dla posiadaczy konta PKO konto pierwsze,lis 24.,"['Promocje bankowe', 'Za darmo', 'Odzież', 'Moda']",4,0,None
Ogłoszenie Sprzedaż Ryanair i Laudamotion: codziennie nowe kierunki,lis 24.,"['Ryanair', 'Linie lotnicze', 'Loty', 'Podróże']",2,117,Ryanair
WD Black 500GB SN750 M.2 PCIe NVMe Amazon.de,lis 24.,"['Dyski twarde', 'Podzespoły komputerowe', 'Komputery i tablety', 'Elektronika']",8,126,Amazon
"Reebok buty męskie zestawienie, GORE-TEX",Zaktualizowano lis 24. (Opublikowano lis 21.),"['Obuwie', 'Moda']",35,0,None
Autonablask.pl -20% kosmetyki samochodowe Black Friday,lis 24.,"['Pojazdy', 'Motoryzacja', 'Uroda']",5,0,None
"Oliwa Salvadori Extra Vergine 17,74 za litr w Auchan z kuponem z aplikacji",Zaktualizowano lis 24. (Opublikowano lis 18.),"['Artykuły spożywcze', 'Hity z marketów']",18,0,None
Buty męskie Nike i Under Armour,Zaktualizowano lis 24. (Opublikowano lis 8.),"['Buty Nike', 'Obuwie', 'Moda']",116,0,None
Samochód elektryczny Tesla S,lis 24.,"['Pojazdy', 'Motoryzacja']",66,0,None
Z okazji festiwalu Tradycji Górniczych Barbórka 2019 Zwiedzanie Starej kopalni za 5 ZŁ 5 grudnia!,lis 24.,['Podróże'],2,0,None
Kontroler Q-SMART GS007 PC Nintendo Switch,lis 24.,"['Nintendo Switch', 'Konsole', 'Komputery i tablety', 'Elektronika']",14,0,None
Samochód elektryczny SKODA CITIGOe iV zasieg 260km,Obowiązuje do 31/12/2019,"['Pojazdy', 'Motoryzacja']",116,98,None
Piwo Staropramen w Aldi,lis 24.,"['Piwo', 'Ogród', 'Napoje', 'Artykuły spożywcze', 'Hity z marketów']",48,0,None
Bose SoundTouch Wave Music System IV Black,lis 24.,"['Bose', 'Głośniki', 'Audio i HiFi', 'Elektronika']",14,151,Media Markt
Urodziny MAX PREMIUM BURGERS w Świętochłowicach,lis 24.,['Artykuły spożywcze'],9,0,None
Hulajnoga elektryczna Segway ES2,lis 24.,"['Hulajnogi', 'Sporty miejskie', 'Sporty rowerowe i miejskie', 'Elektronika']",13,0,None
Nike - 30% w designer outlet sosnowiec,lis 24.,"['Buty Nike', 'Obuwie', 'Moda']",9,0,None
"Zegarek Ingersoll, ładny garniturowiec za grosze.",lis 24.,"['Zegarki', 'Akcesoria modowe', 'Moda']",13,0,None
Philips 58PUS6203 Auchan,lis 24.,"['Hity z marketów', 'Elektronika']",9,0,None
Douglas 25 złotych DO wydania w drogerii stacjonarnej,lis 24.,"['Za darmo', 'Zdrowie i uroda']",10,0,None
Uchwyt grawitacyjny KUULAA,lis 24.,['Motoryzacja'],19,144,AliExpress
Crash Bandicoot N.Sane Trilogy PS4 XBOX ONE,lis 24.,"['Xbox One', 'PlayStation 4', 'Xbox', 'Konsole', 'Gaming']",12,0,None
Śniadaniòwka na gołębia!,lis 24.,['Kultura i rozrywka'],13,0,None
Philips OneBlade Hebe,lis 24.,['Elektronika'],328,0,None
Zegarek Certina DS ROYAL QUARTZ WATCH,lis 24.,"['Zegarki', 'Akcesoria modowe', 'Moda']",27,0,None
+10 Monet za zakupy od 150 zł w kategorii Narzędzia,lis 24.,"['Narzędzia', 'Ogród i majsterkowanie']",15,0,None
Obudowa silentiumpc-ar5-tg-rgb,lis 24.,['Gaming'],12,78,RTV Euro AGD
Laptop ASUS TUF Gaming FX505DY,lis 23.,"['Komputery do gier', 'Laptopy', 'Akcesoria dla graczy', 'Komputery i tablety', 'Elektronika']",31,0,None
"Motorola G7 Plus 4/64 głośniki stereo, NFC, pełny Dual Sim czerwony/granat. Smartfon z Amazon WHD 167,03€ z wysyłką i VAT PL-jak nowy/ideal.",lis 23.,"['Głośniki', 'Audio i HiFi', 'Smartfony', 'Telefony i smartfony', 'Elektronika']",9,0,None
Nissan Leaf 2 Samochód elektryczny. Cena oferty uwzględnia dofinansowanie z Funduszu Niskoemisyjnego Transportu,lis 23.,"['Pojazdy', 'Motoryzacja']",499,3979,None
"DARMOWA WEJŚCIÓWKA DO KINA - Zobacz premierowy odcinek 3 sezonu serialu HBO ""Wataha"" 28.11",lis 23.,"['Bilety i wydarzenia', 'Seriale', 'Filmy i seriale', 'Za darmo', 'Kultura i rozrywka']",45,0,None
Baryłki z alkoholem E. Wedel 4 zł taniej Netto,lis 23.,"['Słodycze', 'Jedzenie', 'Artykuły spożywcze', 'Hity z marketów']",8,0,None
Visual Math 4D [Google Play],lis 23.,"['Usługi i subskrypcje', 'Android', 'Oprogramowanie', 'Oferty komórkowe', 'Systemy operacyjne', 'Za darmo']",6,0,None
AMD Ryzen 7 2700,lis 23.,"['Procesory', 'Podzespoły komputerowe', 'Gaming', 'Komputery i tablety']",62,0,None
BLACK FRIDAY - XIAOMI 70mai PRO Dash Cam (polecam wybrać wersję angielską z GPS i kartą 32 GB),lis 23.,"['Motoryzacja', 'Xiaomi']",30,0,None
AMD Ryzen 5 3600 Allegro Smart OleOle,lis 23.,"['Usługi abonamentowe', 'Procesory', 'Podzespoły komputerowe', 'Komputery i tablety', 'Elektronika']",18,0,None
Konsola Xbox One S 1TB + Gears 5 Standard Edition,lis 23.,"['Xbox One', 'Xbox', 'Konsole', 'Gaming']",18,0,None
gra Times UP Warszawa Auchan puławska,lis 23.,"['Kultura i rozrywka', 'Hity z marketów']",0,93,Auchan
Słuchawki bezprzewodowe SONY WH-1000XM3 plus100 zł w bonach do Carrefour,lis 23.,"['Słuchawki', 'Audio i HiFi', 'Hity z marketów', 'Elektronika']",30,0,None
"Schweppes 1,9L różne rodzaje - Biedronka",lis 23.,"['Artykuły spożywcze', 'Hity z marketów']",45,0,None
Lego friends 41335.,lis 23.,"['klocki LEGO', 'Klocki', 'Zabawki', 'Rodzina i dzieci']",8,0,None
Etui do HUAWEI MediaPad T3 7.0 cal Wifi BG2-W09,lis 23.,"['Tablety', 'Komputery i tablety', 'Elektronika']",9,0,None
"Smartfon Motorola One Vision (niebieski) 205,58 € z wysyłką i VAT PL. Amazon WHD -jak nowy (stan idealny). Android One i Night Vision",lis 23.,"['Oprogramowanie', 'Systemy operacyjne', 'Smartfony', 'Telefony i smartfony', 'Elektronika']",143,0,None
CCC Skórzane Męskie Buty Trzewiki Lasocki,lis 23.,['Moda'],66,0,None
Tower of Farming - idle RPG (Gold Event),lis 23.,['Gaming'],5,74,Google Play
Spodnie Męskie JEANSY,lis 23.,"['Spodnie', 'Odzież', 'Moda']",10,0,None
Moje pierwsze 5 sekund - Pepco,lis 23.,['Gaming'],10,95,Pepco
Traficar - 10 zł zwrotu za zakupy o wartości co najmniej 25 zł @visaoferty,lis 23.,['Motoryzacja'],3,0,None
Router tenda d301 ADSL2+,lis 23.,"['Sieci', 'Komputery i tablety', 'Elektronika']",65,392,Carrefour
Ekspress De Longhi EC 151.B,lis 23.,['Elektronika'],2,-60,Auchan
Parownica do ubrań Philips GC362/80 WHD Amazon.fr,lis 23.,['Elektronika'],66,0,None
Borygo 5 L 29.99 Kaufland Polska,lis 23.,['Motoryzacja'],10,0,None
Gigabyte Windforce 2X RTX 2070 za 1899!,lis 23.,"['Podzespoły komputerowe', 'Komputery i tablety', 'Elektronika']",48,155,Morele.net
Etui Samsung Galaxy A3,lis 23.,"['Smartfony Samsunga', 'Smartfony', 'Telefony i smartfony', 'Elektronika']",6,61,Samsung
Pepsi 2l w Kaufland Szczecin,lis 23.,"['Napoje', 'Artykuły spożywcze', 'Hity z marketów']",9,0,None
Monitor LG 34GL750-B,lis 23.,"['Monitory', 'Komputery i tablety', 'Elektronika']",25,94,Amazon
"Smartfon HUAWEI P30 Pro -mocna wersja 8/256 GB ROM (Breathing Crystal) Amazon WHD jak nowy-stan idealny 5 sztuk w cenie 632,31€ z VAT PL",lis 23.,"['Huawei P30', 'Smartfony Huawei', 'Smartfony', 'Telefony i smartfony', 'Elektronika']",31,0,None
Okulary rowerowe ROCKRIDER | 4 pary wymiennych szkiel,lis 23.,"['Optyk', 'Zdrowie i uroda']",6,162,Decathlon
Dziecięca kurtka ocieplana zimowa Crivit @ Lidl Wrocław,lis 23.,"['Odzież męska', 'Kurtki', 'Odzież', 'Hity z marketów', 'Moda']",11,0,None
Dead By Daylight Steam Key GLOBAL,lis 23.,"['Gry PC', 'Gry wideo', 'Gaming']",13,45,G2A
Samsung Galaxy A80 8/128 GB + Galaxy Fit e (Amazon.de),lis 23.,"['Smartfony Samsunga', 'Smartfony', 'Telefony i smartfony', 'Elektronika']",80,0,None
Zegar nocny z ładowarką indukcyjną i 6 portami USB QC,lis 23.,"['Akcesoria modowe', 'Elektronika']",16,125,Banggood
Likwidacja sklepu CCC Gorzów Wielkopolski,Obowiązuje do 31/12/2019,['Moda'],5,122,CCC
Płyn do chłodnic Dynagel 2000+ 5l Auchan Katowice DTś,lis 23.,"['Motoryzacja', 'Hity z marketów']",5,96,Auchan
Forza Horizon 4 edycja standardowa,lis 23.,"['Forza Horizon 4', 'Forza Horizon', 'Forza', 'Gry wideo', 'Gaming']",5,0,None
Zestaw AeroPress do parzenia pysznej kawy,lis 23.,['Artykuły spożywcze'],130,0,None
Pudełkowe Wydanie Moonlighter (Nintendo Switch),Zaktualizowano lis 23. (Opublikowano lis 2.),"['Nintendo Switch', 'Konsole', 'Gaming']",25,482,Base
Kurtka dziecięca Go Sport,lis 23.,"['Odzież męska', 'Kurtki', 'Odzież', 'Rodzina i dzieci']",9,94,Go Sport
Kurtka Parka oliwkowa w UrbanCity,lis 23.,"['Odzież męska', 'Kurtki', 'Odzież', 'Moda']",22,129,Urban City
Plecak turystyczny mountain warehouse 40l,lis 23.,"['Plecaki', 'Sport i turystyka', 'Akcesoria modowe']",3,54,Mountain Warehouse
Banany 1.99 zł/kg [Stokrotka optima] Lublin,lis 23.,"['Jedzenie', 'Artykuły spożywcze', 'Hity z marketów']",8,0,None
"Sencor SPT 4700 - Radio FM z CD/BT/MP3/SD/USB/AUX, 12W, pilot, Auchan Białystok",lis 23.,"['Hity z marketów', 'Elektronika']",6,0,None
Jysk - promocje na materace (20 do 60 procent),lis 23.,['Dom i mieszkanie'],8,0,None
"Warka Strong 4-pak w puszce 9,4 pln (2,35 za puszkę) - Biedronka",lis 23.,"['Piwo', 'Napoje', 'Artykuły spożywcze', 'Hity z marketów']",15,58,Biedronka
Edycja kolekcjonerska Strange Brigade (PS4/Xbox One),lis 23.,"['Xbox One', 'PlayStation 4', 'Xbox', 'Konsole', 'Gaming']",5,0,None
Shodan za 1$,lis 23.,['Internet i usługi telekomunikacyjne'],18,0,None
Auchan: Lampa Platinet IKAR + takze inne na wyprzedaży,lis 23.,"['Oświetlenie', 'Akcesoria dla domu', 'Dom i mieszkanie', 'Hity z marketów']",6,163,Auchan
Maski antysmogowe Auchan Krokus,Obowiązuje do 22/12/2019,"['Zdrowie i uroda', 'Hity z marketów']",1,89,Auchan
Xbox one s 1TB+2 pady+Fifa 20,lis 23.,"['Xbox One', 'Xbox', 'Konsole', 'Gaming']",10,0,None
"Red Dead Redemption 99 zł, Crash Nitro 99 zł i inne - Carrefour Warszawa Bemowo",lis 23.,"['Red Dead Redemption', 'Gry wideo', 'Gaming', 'Hity z marketów']",59,0,None
Jordan MARS 270. Zalando,lis 23.,"['Słodycze', 'Jedzenie', 'Odzież', 'Moda']",20,138,Zalando
"Lenovo Ideapad 330 15,6'' AMD Ryzen 5 2500U - 8GB RAM - 256GB Dysk - Win10",lis 23.,"['Laptopy', 'Podzespoły komputerowe', 'Komputery i tablety', 'Elektronika']",24,0,None
"Voucher na napój + ciacho za przejazd autobusem z Torunia do Bydgoszczy, Ikea",lis 23.,"['Akcesoria dla domu', 'Dom i mieszkanie']",10,155,IKEA
PlayStation 4 Pro w Auchan,lis 23.,"['PlayStation', 'PlayStation 4', 'Konsole', 'Gaming']",57,0,None
Ogrzewacze do rąk i ciała,lis 23.,"['Pielęgnacja dzieci', 'Sport i turystyka']",7,142,Biedronka
Słuchawki bezprzewodowe Bluetooth Blitzwolf BW-FYE4,lis 23.,"['Słuchawki', 'Audio i HiFi', 'Elektronika']",22,78,Banggood
-25% na akcesoria Silver Monkey,lis 23.,['Elektronika'],5,84,x-kom
Wyjazd na Roma-Juve+3 dni w Rzymie+bilety lotnicze w obie strony,lis 23.,['Podróże'],28,0,None
STX wybrane kolumny 25-40% taniej Black Weekend,lis 23.,['Elektronika'],17,0,None
Zegarek Seiko Premier Automatic Novak Djokovic Limited Edition SSA374J1,lis 23.,"['Zegarki', 'Akcesoria modowe', 'Moda']",35,0,None
WD Blue 2 TB 3D NAND Internal SSD M.2 SATA - Amazon Black Friday Sale,lis 23.,"['SSD', 'Podzespoły komputerowe', 'Komputery i tablety', 'Elektronika']",26,0,None
Wysokie rabatry na wybrane tytuły książek znieżki do 88%,lis 23.,['Kultura i rozrywka'],2,102,Znak
"Radiobudzik Sencor SRC 136 B , Auchan Białystok",lis 23.,"['Hity z marketów', 'Elektronika']",11,48,Auchan
"Black Energy Drink Sex, Zero i Mojito po 99gr. w Biedronka.",lis 23.,['Artykuły spożywcze'],18,0,None
Kod -30% do CCC od T-Mobile w SMS,lis 23.,"['Oferty komórkowe', 'Moda']",28,0,None
Xiaomi Mi 9 6GB/64GB @Amazon.es,lis 23.,"['Xiaomi Mi 9', 'Smartfony Xiaomi', 'Smartfony', 'Xiaomi', 'Telefony i smartfony', 'Elektronika']",12,0,None
"Apple Watch Series 4 (GPS, 40mm) z GPS różne, większość 346,55€ z wysyłką i VAT PL. Oferta wielu modeli w promocji Amazon.it",lis 23.,"['Smartwatche', 'Wearable', 'Elektronika']",27,0,None
Zestawy kreatywne Play Doh w Aldi,lis 23.,"['Oferty komórkowe', 'Rodzina i dzieci', 'Hity z marketów']",2,80,ALDI
Spodenki sportowe Nike męskie,lis 23.,['Moda'],3,-120,Nike
"W Intermarche piwa Żywiec (Porter, Ipa, Apa, Amerykańskie Przeniczne)",lis 23.,"['Piwo', 'Napoje', 'Artykuły spożywcze', 'Hity z marketów']",10,0,None
Zestaw Kodeksów w REWELACYJNIE niskiej cenie !,lis 23.,['Kultura i rozrywka'],14,94,Od.Nowa
Black Friday na PS Store HK,lis 23.,"['Playstation Store', 'Gry Playstation', 'Gry wideo', 'Gaming']",23,0,None
20% na wszystko na stronie mvmtwatches i 30% na wybrane modele,lis 23.,['Moda'],5,55,MVMT
-20% na zamówienia w 4F,lis 23.,['Moda'],12,0,None
Daktyle z pestką 200g (Tesco),lis 23.,"['Artykuły spożywcze', 'Hity z marketów']",0,91,Tesco
Red Dead Redemption 2 PS4/xone + darmowa dostawa,lis 23.,"['Red Dead Redemption 2', 'Red Dead Redemption', 'Gry Playstation', 'Xbox One', 'PlayStation 4', 'Gry wideo', 'Konsole', 'Gaming']",8,113,Neo24
Shodan.io konto dożywotnie za 1$,lis 23.,['Usługi i subskrypcje'],70,0,None
Samsung Galaxy A40 w PLAY,lis 23.,"['Smartfony Samsunga', 'Oferty komórkowe', 'Smartfony', 'Telefony i smartfony', 'Elektronika']",35,0,None
N.W.A - Straight Outta Compton (feat. garbagedriver),lis 23.,['Kultura i rozrywka'],7,0,None
Kod do Uber eats. -50% na całe zamówienie dla nowych klientów,lis 23.,"['Transport miejska', 'Artykuły spożywcze']",5,0,None
"Garmin Vivoactive 3 Smartwatch z GPS (czarno-srebrny) 155,28€ z wysyłką i VAT Amazon.it Pomiar tętna, płatności Garmin Pay, aplikacje sport.",lis 23.,"['Garmin', 'Bieganie', 'Smartwatche', 'Fitness i bieganie', 'Wearable', 'Elektronika']",44,0,None
-37% na wszystko na MyProtein,lis 23.,['Sport i turystyka'],12,56,MyProtein
"Płyty do opiekacza TEFAL Snack Collection XA801112 -do wypieku pączków amerykańskich, Auchan Białystok",lis 23.,"['Dom i mieszkanie', 'Hity z marketów']",2,0,None
"Konsola MIROSOFT Xbox One S, 1 TB + Minecraft + Sea of Thieves + Forza Horizon 3",lis 23.,"['Minecraft', 'Forza Horizon', 'Forza', 'Xbox One', 'Xbox', 'Gry wideo', 'Konsole', 'Gaming']",59,0,None
Robot ECOVACS DEEBOT 900 Amazon Warehouse 156 euro,lis 23.,['Dom i mieszkanie'],10,0,None
Football Manager 2019 trafia do Xbox Game Pass na PC,lis 23.,"['Xbox', 'Gaming', 'Komputery i tablety']",19,-53,GAME
Zmywarka Siemens SN636x03ME iq300 series + porównanie modeli,lis 23.,"['Zmywarki', 'Dom i mieszkanie', 'AGD']",84,0,None
Obiektyw Sigma 17-50mm f/2.8 EX DC OS HSM Nikon,lis 23.,['Elektronika'],23,0,None
Miód wielokwiatowy z Ukrainy,lis 23.,"['Artykuły spożywcze', 'Hity z marketów']",25,0,None
Młynek elektryczny do mielenia soli i pieprzu marki Botti w CARREFOUR,lis 23.,"['DIY', 'Dom i mieszkanie', 'Hity z marketów']",28,490,Carrefour
Skórzane buty męskie Caterpillar IRONDALE,lis 23.,"['Obuwie', 'Moda']",50,0,None
"Smartwatch Huawei Watch GT wersja Elegant czarny/biały z Amazon.it 155,55€ z wysyłką i VAT PL",lis 23.,"['Smartfony Huawei', 'Smartwatche', 'Wearable', 'Smartfony', 'Telefony i smartfony', 'Elektronika']",12,0,None
Klucz udarowy elektryczny hamron,lis 23.,['Motoryzacja'],31,0,None
Wkrętak elektryczny Xiaomi Wowstick 1F+ 64 in 1,lis 23.,"['Xiaomi', 'Elektronika']",4,0,None
"Do 70% na terracest. Weekend offender, lyle&scott",lis 23.,['Moda'],4,36,None
Civilization 6 na IOS,lis 23.,"['iOS', 'Oprogramowanie', 'Systemy operacyjne', 'Gaming']",43,450,Apple
